CollegeName,TotalRegistrations,State
NRCM - NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),149,Telangana
OUCE - O U COLLEGE OF ENGG HYDERABAD,144,Telangana
SRYS - SREYAS INST OF ENGG AND TECHNOLOGY,139,Telangana
GITAM,134,Andhra Pradesh
NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),131,Andhra Pradesh
JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,126,Telangana
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,111,Andhra Pradesh
SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,110,Telangana
SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),107,Telangana
MRTN - ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),107,Telangana
SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,105,Telangana
VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY,104,Telangana
VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,97,Andhra Pradesh
TKEM - TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),96,Telangana
HITM - HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),96,Telangana
JAYA - JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,95,Telangana
KITS - KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,95,Telangana
KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),92,Telangana
METH - METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),88,Telangana
MREC - MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),85,Telangana
CVRH - CVR COLLEGE OF ENGINEERING,81,Telangana
SBIT - SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,80,Telangana
GITAM - GITAM UNIVERSITY,80,Andhra Pradesh
CMRM - CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),79,Karnataka
JNTR - JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,73,Telangana
GD GOENKA UNIVERSITY,73,Haryana
CMRN - CMR ENGG COLLEGE (AUTONOMOUS),71,Telangana
MALLA REDDY UNIVERSITY,70,Telangana
JPNE - JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,69,Telangana
NAWB - NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,69,Telangana
BIET - BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,68,Telangana
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,68,Andhra Pradesh
VAGE - VAAGDEVI COLLEGE OF ENGINEERING,66,Telangana
SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN,66,Andhra Pradesh
VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY,64,Andhra Pradesh
VGSE - VAAGESHWARI COLL OF ENGINEERING,64,Maharashtra
WOXSEN UNIVERSITY,62,Telangana
INDU - SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,57,Telangana
KLU - K L UNIVERSITY,57,Andhra Pradesh
AMRITA VISHWA VIDHYAPEETHAM,56,Tamil Nadu
MVGR COLLEGE OF ENGINEERING,56,Andhra Pradesh
MTEC - MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,56,Telangana
GNIT - GURUNANAK INST OF TECHNOLOGY,53,Telangana
CHAITANYA DEEMED TO BE UNIVERSITY,52,Andhra Pradesh
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE,52,Andhra Pradesh
GLWC - GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,50,Telangana
CHALAPATHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,50,Andhra Pradesh
AARM - AAR MAHAVEER ENGINEERING COLLEGE,49,Telangana
TPCE - TALLA PADMAVATHI COLL OF ENGINEERING,48,Telangana
GURU - GURUNANAK INSTTECH CAMPUS,47,Telangana
ICFAI UNIVERSITY,47,Telangana
ANRK - ANURAG ENGINEERING COLLGE,46,Telangana
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,46,Andhra Pradesh
MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,44,Telangana
KITW - KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,44,Telangana
KMEC - KESHAV MEMORIAL ENGINEERING COLLEGE,43,Telangana
JOGI - JOGINPALLY B R ENGINEERING COLLEGE,42,Telangana
,42,Maharashtra
SVSE - SVS GRP OF INSTNS - SVS INST OF TECH,42,Telangana
VJYA - VIJAYA ENGINEERING COLLEGE,41,Telangana
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,39,Andhra Pradesh
MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,38,Telangana
RGUKT BASAR,38,Telangana
AURP - AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,38,Telangana
JNTUK COLLEGE OF ENGINNERING KAKINADA,37,Andhra Pradesh
NGIT - NEIL GOGTE INST OF TECHNOLOGY,35,Telangana
KL UNIVERSITY,34,Andhra Pradesh
BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,34,Telangana
JNTM - JNTU COLLEGE OF ENGG MANTHANI,34,Telangana
SMCD - ST MARYS ENGINEERING COLLEGE,34,Telangana
BOSE - ANU BOSE INSTT OF TECHNOLOGY,33,West Bengal
SISG - SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,33,Telangana
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES BASAR,33,Telangana
LOVELY PROFESSIONAL UNIVERSITY,30,Punjab
ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCIENCES,30,Andhra Pradesh
INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,30,Telangana
SVIT - SWAMI VIVEKANANDA INST OF TECHNOLOGY,30,Telangana
MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,30,Telangana
JNKR - JNTU COLLEGE OF ENGINEERING JAGITIAL,30,Telangana
TKRC - T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),29,Telangana
PARUL UNIVERSITY,28,Gujarat
PRAGATI ENGINEERING COLLEGE,28,Andhra Pradesh
KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,28,Tamil Nadu
SRINIVASA INSTITUTE OF ENGINEERING AND TECHNOLOGY,28,Andhra Pradesh
DRKI - D R K INSTITUTE OF SCI AND TECHNOLOGY,28,Telangana
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMENS,27,Andhra Pradesh
VELLORE INSTITUTE OF TECHNOLOGY,25,Tamil Nadu
AVIH - AVANTHI INST OF ENGG AND TECHNOLOGY,25,Telangana
JNTU COLLEGE OF ENGINNERING JAGITAL,25,Telangana
TCTK - TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,25,Telangana
SIEI - SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY,24,Andhra Pradesh
ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,24,Andhra Pradesh
JMTS - JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,23,Telangana
MRET - MALLAREDDY INST OF ENGG AND TECHNOLOGY,23,Telangana
NARASIMHA REDDY ENGINEERING COLLEGE,23,Telangana
ICFAI FOUNDATION FOR HIGHER EDUCATION,23,Telangana
TCEK - TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,22,Kerala
SRM UNIVERSITY AP,21,Andhra Pradesh
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,21,Tamil Nadu
VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,21,Telangana
ANDHRA UNIVERSITY COLLEGE OF ENGEENERING (A),20,Andhra Pradesh
AURORA DEEMED TO BE UNIVERSITY,20,Telangana
SAVEETHA SCHOOL OF ENGINEERING,19,Tamil Nadu
MADANAPALLE INSTITUTE OF TECHNOLOGY AND SCIENCE,19,Andhra Pradesh
VISHNU INSTITUTE OF TECHNOLOGY,19,Andhra Pradesh
JNTUA COLLEGE OF ENGINEERING ANANTAPUR,18,Andhra Pradesh
THE APOLLO UNIVERSITY,18,Andhra Pradesh
BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,18,Telangana
SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE,18,Andhra Pradesh
HOLY - HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),18,Telangana
WITS - WARANGAL INST OF TECHNOLOGY SCIENCE,18,Telangana
AMRITA VISHWA VIDYAPEETHAM,18,Kerala
RAGHU ENGINEERING COLLEGE,17,Andhra Pradesh
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,17,Andhra Pradesh
SRKR ENGINEERING COLLEGE,17,Andhra Pradesh
AVNI - AVN INST OF ENGG TECHNOLOGY,17,Telangana
SASI INSTITUTE OF TECHNOLOGY AND ENGINEERING,17,Andhra Pradesh
QIS COLLEGE OF ENGINEERING AND TECHNOLOGY,17,Andhra Pradesh
NISHITHA DEGREE COLLEGE,17,Andhra Pradesh
ADITYA ENGINEERING COLLEGE,16,Andhra Pradesh
PRESIDENCY UNIVERSITY,16,West Bengal
SVES - SRI VENKATESWARA ENGINEERING COLLEGE,16,Andhra Pradesh
MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING,16,Andhra Pradesh
ST MARY'S ENGINEERING COLLEGE,16,Telangana
BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH,15,Tamil Nadu
MOHAN BABU UNIVERSITY,15,Andhra Pradesh
"G PULLA REDDY ENGINEERING COLLEGE (AUTONOMOUS), KURNOOL",15,Andhra Pradesh
LAKIREDDY BALI REDDY COLLEGE OF ENGINEERING,15,Andhra Pradesh
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR",15,Telangana
WESL - CSI WESLEY INST OF TECHNOLOGY AND SCIENCES,15,Telangana
RISHI UBR WOMEN'S COLLEGE,15,Uttar Pradesh
VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY,15,Andhra Pradesh
KIET GROUP OF INSTITUTIONS,15,Uttar Pradesh
SRM UNIVERSITY,14,Tamil Nadu
SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,14,Tamil Nadu
SNTI - SCIENT INSTITUTE OF TECHNOLOGY,14,Andhra Pradesh
JNTS - J N T U COLLEGE OF ENGINEERING SULTANPUR,14,Uttar Pradesh
SAIS - SAI SPURTI INSTITUTE OF TECHNOLOGY,14,Telangana
RGMCET,14,Andhra Pradesh
VBEC - VIGNANA BHARATHI ENGINEERING COLLEGE,14,Telangana
Rishi ubr women's college ,14,Uttar Pradesh
VIGNAN INSTITUTE OF INFORMATION TECHNOLOGY,14,Andhra Pradesh
SDES - SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,13,Telangana
RAMACHANDRA COLLEGE OF ENGINEERING,13,Andhra Pradesh
BONAM VENKATA CHALAMAYYA ENGINEERING COLLEGE,13,Andhra Pradesh
MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,13,Telangana
SR UNIVERSITY,13,Telangana
SDGI - SREE DATTHA GRP OF INSTNS,13,Telangana
SRI VENKATESWARA COLLEGE OF ENGINEERING,12,Tamil Nadu
CHANDIGARH UNIVERSITY,12,Punjab
GMR INSTITUTE OF TECHNOLOGY,12,Andhra Pradesh
IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,12,Telangana
ADITYA DEGREE COLLEGE,12,Andhra Pradesh
NRI INSTITUTE OF TECHNOLOGY,12,Andhra Pradesh
MJCT - M J COLLEGE OF ENGINEERING AND TECHNOLOGY,12,Telangana
SMED - ST MARYS GROUP OF INSTITUTIONS,12,Telangana
MGUNSF - MGU COLLEGE OF ENGINEERING AND TECHNOLOGY,12,Kerala
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING,12,Andhra Pradesh
KTKM - KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,11,Telangana
BENNETT UNIVERSITY,11,Uttar Pradesh
STUDENT,11,Tamil Nadu
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,BASAR",11,Telangana
AITH - ANNAMACHARYA INST OF TECHNOLOGY AND SCI,11,Andhra Pradesh
MVGR,11,Andhra Pradesh
ANDHRA UNIVERSITY,11,Andhra Pradesh
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN'S,11,Andhra Pradesh
GODAVARI INSTITUTE OF ENGINEERING AND TECHNOLOGY,10,Andhra Pradesh
JAIN UNIVERSITY,10,Karnataka
UNIVERSITY OF NORTH TEXAS,10,Texas
SATHYABAMA UNIVERSITY,10,Tamil Nadu
SIR C R REDDY COLLEGE OF ENGINEERING,10,Andhra Pradesh
ASRA - AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,10,Telangana
R.V.R & J.C COLLEGE OF ENGINEERING,10,Andhra Pradesh
NARASARAOPETA ENGINEERING COLLEGE,10,Andhra Pradesh
SREE VIDYANIKETHAN ENGINEERING COLLEGE,10,Andhra Pradesh
ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE RAJAMPET,10,Andhra Pradesh
NATIONAL INSTITUTE OF TECHNOLOGY ANDHRA PRADESH,10,Andhra Pradesh
SAGI RAMA KRISHNAM RAJU ENGINEERING COLLEGE,10,Andhra Pradesh
MANIPAL INSTITUTE OF TECHNOLOGY,10,Karnataka
NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,10,Andhra Pradesh
SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,10,Telangana
ACME DEGREE COLLEGE,10,Telangana
RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,10,Andhra Pradesh
LOYOLA ACADEMY,9,Telangana
VIT-AP UNIVERSITY,9,Andhra Pradesh
SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,9,Andhra Pradesh
G PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,9,Andhra Pradesh
K L UNIVERSITY,9,Andhra Pradesh
VIT-AP,9,Andhra Pradesh
VIT AP,9,Andhra Pradesh
AURG - AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,9,Telangana
"CHRIST UNIVERSITY,BANGALORE",9,Karnataka
SASTRA DEEMED UNIVERSITY,9,Tamil Nadu
Rishi UBR women's college ,9,Telangana
KCEA - KSHATRIYA COLLEGE OF ENGINEERING,9,Tamil Nadu
KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY,9,Andhra Pradesh
GLA UNIVERSITY,9,Uttar Pradesh
USHA RAMA COLLEGE OF ENGINEERING AND TECHNOLOGY,8,Andhra Pradesh
MAHINDRA UNIVERSITY,8,Telangana
ELEN - ELLENKI COLLGE OF ENGG AND TECHNOLOGY,8,Telangana
IIT MADRAS,8,Tamil Nadu
KAKATIYA UNIVERSITY,8,Telangana
KNRR - KASIREDDY NARAYANAREDDY COLL ENGG RES,8,Telangana
ACHARYA NAGARJUNA UNIVERSITY,8,Andhra Pradesh
LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,8,Andhra Pradesh
SIR CR REDDY COLLEGE OF ENGINEERING,8,Andhra Pradesh
BRIG - BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,8,Telangana
TIRUMALA ENGINEERING COLLEGE,8,Andhra Pradesh
KALASALINGAM UNIVERSITY,8,Tamil Nadu
ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,8,Andhra Pradesh
GOVERNMENT INSTITUTE OF ELECTRONICS,8,Telangana
CHANDIGARH COLLEGE OF ENGINEERING,8,Chandigarh
VASIREDDY VENKATADRI INTERNATIONAL TECHNOLOGICAL UNIVERSITY,8,Andhra Pradesh
GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,8,Andhra Pradesh
RISHI MS INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,8,Andhra Pradesh
OUCT - O U COLLEGE OF TECH HYDERABAD,8,Telangana
SVR ENGINEERING COLLEGE,7,Andhra Pradesh
PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,7,Andhra Pradesh
AUDISANKARA COLLEGE OF ENGINEERING AND TECHNOLOGY,7,Andhra Pradesh
RAGHU INSTITUTE OF TECHNOLOGY,7,Andhra Pradesh
SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,7,Andhra Pradesh
GATE - GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,7,Andhra Pradesh
DHANALAKSHMI SRINIVASAN UNIVERSITY,7,Tamil Nadu
NARAYANA ENGINEERING COLLEGE,7,Andhra Pradesh
VIJAY RURAL ENGINEERING COLLEGE,7,Telangana
VEL TECH UNIVERSITY,7,Tamil Nadu
ST ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,7,Andhra Pradesh
MLTM - MALLA REDDY INSTITUTE OF TECHNOLOGY,7,Telangana
JNTUGV COLLEGE OF ENGINEERING VIZIANAGARAM,7,Andhra Pradesh
LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING,7,Andhra Pradesh
ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,7,Andhra Pradesh
OU,7,Odisha
SRIW - SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,7,Telangana
MAHATMA GANDHI UNIVERSITY,7,Kerala
"RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY, NANDYAL",7,Andhra Pradesh
JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,7,Telangana
KUEWSF - UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,7,Kerala
ICFAI,7,Telangana
ICFAI TECH,7,Telangana
IFHE,7,Telangana
KKR & KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,6,Andhra Pradesh
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DHARWAD,6,Karnataka
GAYATRI VIDYA PARISAD COLLEGE OF ENGINEERING,6,Andhra Pradesh
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, NUZVID",6,Andhra Pradesh
DHANEKULA INSTITUTE OF ENGINEERING AND TECHNOLOGY,6,Andhra Pradesh
CJIT - CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,6,Telangana
VIDHYA JYOTHI INSTITUTE OF TECHNOLOGY,6,Telangana
ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY CHIRALA,6,Andhra Pradesh
VARDHAMAN COLLEGE OF ENGINEERING,6,Telangana
INDIAN INSTITUTE OF TECHNOLOGY PATNA,6,Bihar
BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,6,Telangana
KAKINADA INSTITUTE OF ENGINEERING TECHNOLOGY,6,Andhra Pradesh
ANDHRA UNIVERSITY COLLEGE OF ENGINEERING FOR WOMEN,6,Andhra Pradesh
ARIZONA STATE UNIVERSITY,5,Arizona
AURORA DEGREE & PG COLLEGE,5,Telangana
LRDS - LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),5,Telangana
ALLIANCE UNIVERSITY,5,Karnataka
PETW - PRINCETON INST OF ENGG TECH FOR WOMEN,5,Telangana
"VELLORE INSTITUTE OF TECHNOLOGY, VELLORE",5,Tamil Nadu
DMSSVH COLLEGE OF ENGINEERING MACHILIPATNAM AFFLIATED TO JNTUK,5,Andhra Pradesh
GAYATRI VIDYA PARISAD COLLEGE OF ENGINEERING FOR WOMEN,5,Andhra Pradesh
SASTRA UNIVERSITY,5,Tamil Nadu
VIT,5,Tamil Nadu
DVR AND DR HS MIC COLLAGE OF TECHNOLOGY,5,Andhra Pradesh
KLUNIVERSITY,5,Andhra Pradesh
PRIW - PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,5,Telangana
ST. ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,5,Andhra Pradesh
VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,5,Andhra Pradesh
KRISHNA UNIVERSITY,5,Andhra Pradesh
RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING,5,Andhra Pradesh
RVR&JC COLLEGE OF ENGINEERING,5,Andhra Pradesh
CHTS - SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,5,Andhra Pradesh
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES NUZVID,5,Andhra Pradesh
VIT BHOPAL UNIVERSITY,5,Madhya Pradesh
NIMS UNIVERSITY,5,Rajasthan
MGHA - MEGHA INST OF ENGG AND TECHNOLOGY FOR WOMEN,5,Telangana
DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,5,Andhra Pradesh
UNIVERSITY,5,Rajasthan
UNIVERSITY COLLEGE OF ENGINEERING AND TECHNOLOGY MAHATMA GANDHI UNIVERSITY,5,Kerala
AIMS DEGREE COLLEGE,5,Telangana
KUWL - KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,5,Telangana
Rishi Ubr Women'S College,5,Uttar Pradesh
KMCE- KESHAV MEMORIAL COLLEGE OF ENGINEERING,5,Andhra Pradesh
SAMSKRUTI COLLEGE OF ENGINEERING AND TECHNOLOGY,5,Telangana
UNIVERSITY OF HYDERABAD,5,Telangana
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-BASAR,5,Telangana
NIZAM COLLEGE,5,Telangana
MU - MAHINDRA UNIVERSITY,5,Telangana
VAAGDEVI ENGINEERING COLLEGE,5,Telangana
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY,5,Andhra Pradesh
VNR VJIET,5,Telangana
KKR AND KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,5,Andhra Pradesh
KIET,5,Uttar Pradesh
ICFAI UNIVERSITY HYDERABAD,5,Telangana
NARAYANA ENGINEERING COLLEGE GUDUR,5,Andhra Pradesh
GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES,5,Andhra Pradesh
DR BR AMBEDKAR UNIVERSITY,4,Delhi
CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT,4,Odisha
NONE,4,"This question is a bit of a trick! ""NONE"" is not a real location in any Indian state. Therefore, there is no state name to provide."
UNIVERSITY OF CENTRAL MISSOURI,4,Missouri
THE OXFORD COLLEGE OF ENGINEERING,4,Karnataka
IIT GUWAHATI,4,Assam
AVINASH COLLEGE OF COMMERCE,4,Telangana
VVIT,4,Andhra Pradesh
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI, MANIPUR",4,Manipur
VELLORE INSTITUTE OF TECHNOLOGY - AP,4,Andhra Pradesh
RAYALASEEMA UNIVERSITY,4,Andhra Pradesh
JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,4,Uttar Pradesh
VELTECH UNIVERSITY,4,Tamil Nadu
IIIT SRI CITY,4,Andhra Pradesh
VELLORE INSTITUTE OF TECHNOLOGY CHENNAI,4,Tamil Nadu
ACCENTURE,4,Karnataka
UNIVERSITY OF BRIDGEPORT,4,Connecticut
NIT ANDHRA PRADESH,4,Andhra Pradesh
ANNAMACHARYA UNIVERSITY,4,Andhra Pradesh
GAYATRI VIDYA PARISAD COLLEGE FOR DEGREE AND PG COURSES,4,Andhra Pradesh
BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,4,Telangana
ADITYA UNIVERSITY,4,Andhra Pradesh
UNIVERSITY OF NEW HAVEN,4,Connecticut
GUDLAVALLERU ENGINEERING COLLEGE,4,Andhra Pradesh
SREE RAMA ENGINEERING COLLEGE,4,Andhra Pradesh
VEL TECH RANGARAJAN DR. SAGUNTHALA R&D INSTITUTE OF SCIENCE AND TECHNOLOGY,4,Tamil Nadu
VIT CHENNAI,4,Tamil Nadu
SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,4,Andhra Pradesh
R.V.R. & J.C. COLLEGE OF ENGINEERING,4,Andhra Pradesh
IIT KHARAGPUR,4,West Bengal
BAPATLA ENGINEERING COLLEGE,4,Andhra Pradesh
