,CollegeName,TotalRegistrations,State
26,MRU - MALLA REDDY UNIVERSITY,239,Telangana
27,KMIT - KESHAV MEMORIAL INST OF TECHNOLOGY,233,Telangana
28,IFHE HYDERABAD,231,Telangana
29,VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,230,Telangana
30,CMRG - CMR TECHNICAL CAMPUS (AUTONOMOUS),220,Telangana
31,GCTC - GEETANJALI COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),214,Telangana
32,SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),205,Telangana
33,MGIT - MAHATMA GANDHI INSTITUTE OF TECHNOLOGY,205,Telangana
34,KPRT - KOMMURI PRATAP REDDY INST OF TECHNOLOGY,195,Telangana
35,MRCE - MALLA REDDY COLLEGE OF ENGINEERING,187,Telangana
36,VGWL - VAGDEVI ENGINEERING COLLEGE,186,Telangana
37,NNRG - NALLA NARASIMHA REDDY EDNL SOC GRP OF INSTNS,179,Telangana
38,NRCM - NARSIMHAREDDY ENGINEERING COLLEGE (AUTONOMOUS),176,Telangana
39,SPHN - SPHOORTHY ENGINEERING COLLEGE,169,Telangana
40,PALV - PALLAVI ENGINEERING COLLEGE,169,Telangana
41,MLRS - MARRI LAXMAN REDDY INST OF TECHNOLOGY AND MANAGEMENT (AUTONOMOUS),168,Telangana
42,OUCE - O U COLLEGE OF ENGG HYDERABAD,159,Telangana
43,SRYS - SREYAS INST OF ENGG AND TECHNOLOGY,154,Telangana
44,SBIT - SWARNA BHARATHI INSTITUTE OF SCI AND TECHNOLOGY,147,Telangana
45,SMSK - SAMSKRUTHI COLLEGE OF ENGG AND TECHNOLOGY,144,Telangana
46,JBIT - J B INSTITUTE OF ENGG AND TECHNOLOGY,142,Telangana
47,NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),141,Andhra Pradesh
48,GITAM,135,Andhra Pradesh
49,SRHP - SR UNIVERSITY ( FORMERLY S R ENGINEERING COLLEGE),135,Telangana
50,RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,123,Andhra Pradesh
51,VIGNAN'S INSTITUTE OF INFORMATION TECHNOLOGY,119,Andhra Pradesh
52,MRTN - ST MARTINS ENGINEERING COLLEGE (AUTONOMOUS),118,Telangana
53,SDEW - SRIDEVI WOMENS ENGINEERING COLLEGE,115,Telangana
54,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,113,Andhra Pradesh
55,KITS - KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,107,Telangana
56,GITAM - GITAM UNIVERSITY,107,Andhra Pradesh
57,METH - METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),106,Telangana
58,VIGNANA BHARATHI INSTITUTE OF TECHNOLOGY,104,Telangana
59,TKEM - TEEGALA KRISHNA REDDY ENGINEERING COLLEGE (AUTONOMOUS),103,Telangana
60,KGRH - KG REDDY COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),103,Telangana
61,MREC - MALLAREDDY ENGINEERING COLLEGE (AUTONOMOUS),102,Telangana
62,HITM - HYDERABAD INST OF TECHNOLOGY AND MGMT (AUTONOMOUS),101,Telangana
63,JAYA - JAYAMUKHI INSTITUTE OF TECHNOLOGY AND SCIS,98,Telangana
64,CMRM - CMR INSTITUTE OF TECHNOLOGY (AUTONOMOUS),97,Karnataka
65,CVRH - CVR COLLEGE OF ENGINEERING,96,Telangana
66,CMRN - CMR ENGG COLLEGE (AUTONOMOUS),84,Telangana
67,KLU - K L UNIVERSITY,83,Andhra Pradesh
68,SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN,83,Andhra Pradesh
69,WOXSEN UNIVERSITY,81,Telangana
70,BIET - BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,77,Telangana
71,JNTR - JNTU COLLEGE OF ENGINEERING RAJANNA SIRCILLA,75,Telangana
72,NAWB - NAWAB SHAH ALAM KHAN COLL OF ENGG AND TECH,75,Telangana
73,VAGE - VAAGDEVI COLLEGE OF ENGINEERING,73,Telangana
74,GD GOENKA UNIVERSITY,73,Haryana
75,MALLA REDDY UNIVERSITY,71,Telangana
76,JPNE - JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,69,Telangana
77,INDU - SRI INDU COLLEGE OF ENGG AND TECHNOLOGY,67,Telangana
78,VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY,67,Andhra Pradesh
79,VGSE - VAAGESHWARI COLL OF ENGINEERING,66,Maharashtra
80,VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE,64,Andhra Pradesh
81,GNIT - GURUNANAK INST OF TECHNOLOGY,62,Telangana
82,GLWC - GOKARAJU LAILAVATHI WOMENS ENGINEERING COLLEGE,62,Telangana
84,CHAITANYA DEEMED TO BE UNIVERSITY,59,Andhra Pradesh
85,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,59,Andhra Pradesh
86,MVGR COLLEGE OF ENGINEERING,58,Andhra Pradesh
87,MTEC - MOTHER THERESA COLLEGE OF ENGG AND TECHNOLOGY,57,Telangana
88,AMRITA VISHWA VIDHYAPEETHAM,56,Tamil Nadu
89,GURU - GURUNANAK INSTTECH CAMPUS,54,Telangana
90,ICFAI UNIVERSITY,53,Telangana
91,CHALAPATHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,52,Andhra Pradesh
92,MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,51,Telangana
93,AARM - AAR MAHAVEER ENGINEERING COLLEGE,51,Telangana
94,MRIT - MALLAREDDY INST OF TECHNOLOGY AND SCI,50,Telangana
95,ANRK - ANURAG ENGINEERING COLLGE,50,Telangana
96,KMEC - KESHAV MEMORIAL ENGINEERING COLLEGE,48,Telangana
97,JOGI - JOGINPALLY B R ENGINEERING COLLEGE,48,Telangana
98,TPCE - TALLA PADMAVATHI COLL OF ENGINEERING,48,Telangana
99,KITW - KAKATIYA INST OF TECHNOLOGY SCI FOR WOMEN,46,Telangana
100,AURP - AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,44,Telangana
101,SVSE - SVS GRP OF INSTNS - SVS INST OF TECH,43,Telangana
102,BREW - BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,43,Telangana
103,JNKR - JNTU COLLEGE OF ENGINEERING JAGITIAL,43,Telangana
104,VJYA - VIJAYA ENGINEERING COLLEGE,41,Telangana
105,NGIT - NEIL GOGTE INST OF TECHNOLOGY,41,Telangana
106,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,41,Andhra Pradesh
107,SISG - SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,40,Telangana
108,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMENS,39,Andhra Pradesh
109,RGUKT BASAR,38,Telangana
110,JNTUK COLLEGE OF ENGINNERING KAKINADA,37,Andhra Pradesh
111,VELLORE INSTITUTE OF TECHNOLOGY,36,Tamil Nadu
112,JNTM - JNTU COLLEGE OF ENGG MANTHANI,36,Telangana
113,KL UNIVERSITY,36,Andhra Pradesh
114,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES BASAR,36,Telangana
115,SMCD - ST MARYS ENGINEERING COLLEGE,35,Telangana
116,INDI - SRI INDU INSTITUTE OF ENGINEERING AND TECHNOLOGY,35,Telangana
117,PRAGATI ENGINEERING COLLEGE,35,Andhra Pradesh
118,SVIT - SWAMI VIVEKANANDA INST OF TECHNOLOGY,34,Telangana
119,LOVELY PROFESSIONAL UNIVERSITY,33,Punjab
120,ANIL NEERUKONDA INSTITUTE OF TECHNOLOGY AND SCIENCES,33,Andhra Pradesh
121,PARUL UNIVERSITY,33,Gujarat
122,BOSE - ANU BOSE INSTT OF TECHNOLOGY,33,West Bengal
123,SRINIVASA INSTITUTE OF ENGINEERING AND TECHNOLOGY,32,Andhra Pradesh
124,KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN'S,31,Andhra Pradesh
125,MREM - MALLA REDDY ENGINEERING COLLEGE AND MANAGEMENT SCIENCES,31,Telangana
126,TKRC - T K R COLLEGE OF ENGG AND TECHNOLOGY (AUTONOMOUS),31,Telangana
127,AVIH - AVANTHI INST OF ENGG AND TECHNOLOGY,30,Telangana
128,KALASALINGAM ACADEMY OF RESEARCH AND EDUCATION,30,Tamil Nadu
129,MOHAN BABU UNIVERSITY,28,Andhra Pradesh
130,DRKI - D R K INSTITUTE OF SCI AND TECHNOLOGY,28,Telangana
131,MRET - MALLAREDDY INST OF ENGG AND TECHNOLOGY,27,Telangana
132,TCTK - TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,27,Telangana
133,SIEI - SIDDHARTHA INSTT OF ENGG AND TECHNOLOGY,27,Andhra Pradesh
134,JMTS - JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,26,Telangana
135,AMRITA VISHWA VIDYAPEETHAM,26,Kerala
136,JNTU COLLEGE OF ENGINNERING JAGITAL,25,Telangana
137,ICFAI FOUNDATION FOR HIGHER EDUCATION,25,Telangana
138,ADITYA COLLEGE OF ENGINEERING AND TECHNOLOGY,25,Andhra Pradesh
139,SRM UNIVERSITY AP,24,Andhra Pradesh
140,SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,24,Tamil Nadu
141,VMTW - VIGNANS INST OF MANAGEMENT AND TECH FOR WOMEN,24,Telangana
142,SRKR ENGINEERING COLLEGE,23,Andhra Pradesh
143,VISHNU INSTITUTE OF TECHNOLOGY,23,Andhra Pradesh
144,NARASIMHA REDDY ENGINEERING COLLEGE,23,Telangana
145,TCEK - TRINITY COLLEGE OF ENGINEERING AND TECHNOLOGY,22,Kerala
146,AVNI - AVN INST OF ENGG TECHNOLOGY,22,Telangana
147,PRESIDENCY UNIVERSITY,22,West Bengal
148,HOLY - HOLY MARY INSTITUTE OF TECH SCIENCE (AUTONOMOUS),21,Telangana
149,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGIES,21,Andhra Pradesh
150,AURORA DEEMED TO BE UNIVERSITY,20,Telangana
151,ANDHRA UNIVERSITY COLLEGE OF ENGEENERING (A),20,Andhra Pradesh
152,SAVEETHA SCHOOL OF ENGINEERING,20,Tamil Nadu
153,MADANAPALLE INSTITUTE OF TECHNOLOGY AND SCIENCE,20,Andhra Pradesh
154,THE APOLLO UNIVERSITY,20,Andhra Pradesh
155,QIS COLLEGE OF ENGINEERING AND TECHNOLOGY,20,Andhra Pradesh
156,SESHADRI RAO GUDLAVALLERU ENGINEERING COLLEGE,19,Andhra Pradesh
157,NRI INSTITUTE OF TECHNOLOGY,19,Andhra Pradesh
158,BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH,19,Tamil Nadu
159,SASI INSTITUTE OF TECHNOLOGY AND ENGINEERING,19,Andhra Pradesh
160,ANDHRA UNIVERSITY COLLEGE OF ENGINEERING,19,Andhra Pradesh
161,ADITYA ENGINEERING COLLEGE,19,Andhra Pradesh
162,WITS - WARANGAL INST OF TECHNOLOGY SCIENCE,19,Telangana
163,MAHARAJ VIJAYARAM GAJAPATHI RAJ COLLEGE OF ENGINEERING,18,Andhra Pradesh
164,SVES - SRI VENKATESWARA ENGINEERING COLLEGE,18,Andhra Pradesh
165,BITN - BALAJI INSTITUTE OF TECHNOLOGY AND SCI,18,Telangana
166,VIGNAN INSTITUTE OF INFORMATION TECHNOLOGY,18,Andhra Pradesh
167,JNTUA COLLEGE OF ENGINEERING ANANTAPUR,18,Andhra Pradesh
168,NISHITHA DEGREE COLLEGE,17,Telangana
169,JNTS - J N T U COLLEGE OF ENGINEERING SULTANPUR,17,Uttar Pradesh
170,KAKINADA INSTITUTION OF ENGINEERING AND TECHNOLOGY,17,Andhra Pradesh
171,RAGHU ENGINEERING COLLEGE,17,Andhra Pradesh
172,RISHI UBR WOMEN'S COLLEGE,17,Uttar Pradesh
173,KIET GROUP OF INSTITUTIONS,17,Uttar Pradesh
174,RAYALASEEMA UNIVERSITY COLLEGE OF ENGINEERING,17,Andhra Pradesh
175,LAKIREDDY BALI REDDY COLLEGE OF ENGINEERING,17,Andhra Pradesh
176,SRM UNIVERSITY,17,Tamil Nadu
177,WESL - CSI WESLEY INST OF TECHNOLOGY AND SCIENCES,16,Telangana
178,CHANDIGARH UNIVERSITY,16,Punjab
179,SDGI - SREE DATTHA GRP OF INSTNS,16,Telangana
180,AITH - ANNAMACHARYA INST OF TECHNOLOGY AND SCI,16,Andhra Pradesh
181,RGMCET,16,Andhra Pradesh
182,VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY,16,Andhra Pradesh
183,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, BASAR",16,Telangana
184,ST MARY'S ENGINEERING COLLEGE,16,Telangana
185,"G PULLA REDDY ENGINEERING COLLEGE (AUTONOMOUS), KURNOOL",15,Andhra Pradesh
186,Rishi ubr women's college,15,Uttar Pradesh
187,VBEC - VIGNANA BHARATHI ENGINEERING COLLEGE,15,Telangana
188,GMR INSTITUTE OF TECHNOLOGY,14,Andhra Pradesh
189,SAGI RAMA KRISHNAM RAJU ENGINEERING COLLEGE,14,Andhra Pradesh
190,SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,14,Tamil Nadu
191,SDES - SREE DATTHA INSTITUTE OF ENGINEERING AND SCIENCE,14,Telangana
192,SNTI - SCIENT INSTITUTE OF TECHNOLOGY,14,Andhra Pradesh
193,BONAM VENKATA CHALAMAYYA ENGINEERING COLLEGE,14,Andhra Pradesh
194,SAIS - SAI SPURTI INSTITUTE OF TECHNOLOGY,14,Telangana
195,MJCT - M J COLLEGE OF ENGINEERING AND TECHNOLOGY,14,Telangana
196,IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,13,Telangana
197,SRI VENKATESWARA COLLEGE OF ENGINEERING,13,Tamil Nadu
198,MALLA REDDY ENGINEERING COLLEGE FOR WOMEN,13,Telangana
199,SR UNIVERSITY,13,Telangana
200,RAMACHANDRA COLLEGE OF ENGINEERING,13,Andhra Pradesh
201,CJIT - CHRISTU JYOTHI INSTITUTE OF TECHNOLOGY AND SCI,12,Telangana
202,SREE VIDYANIKETHAN ENGINEERING COLLEGE,12,Andhra Pradesh
203,SMED - ST MARYS GROUP OF INSTITUTIONS,12,Telangana
204,MGUNSF - MGU COLLEGE OF ENGINEERING AND TECHNOLOGY,12,Kerala
205,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,12,Andhra Pradesh
206,ADITYA DEGREE COLLEGE,12,Andhra Pradesh
207,JAIN UNIVERSITY,12,Karnataka
208,MLTM - MALLA REDDY INSTITUTE OF TECHNOLOGY,12,Telangana
209,GAYATRI VIDYA PARISHAD COLLEGE OF ENGINEERING,12,Andhra Pradesh
210,ANDHRA UNIVERSITY,12,Andhra Pradesh
211,MANIPAL INSTITUTE OF TECHNOLOGY,12,Karnataka
212,SIR C R REDDY COLLEGE OF ENGINEERING,12,Andhra Pradesh
213,RAYALASEEMA UNIVERSITY,12,Andhra Pradesh
214,KTKM - KAMALA INSTITUTE OF TECHNOLOGY AND SCIENCE,12,Telangana
215,SATHYABAMA UNIVERSITY,12,Tamil Nadu
216,VIT-AP,12,Andhra Pradesh
217,BENNETT UNIVERSITY,12,Uttar Pradesh
218,VIT-AP UNIVERSITY,11,Andhra Pradesh
219,NATIONAL INSTITUTE OF TECHNOLOGY ANDHRA PRADESH,11,Andhra Pradesh
220,KKR & KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,11,Andhra Pradesh
221,STUDENT,11,-
222,KIET,11,Uttar Pradesh
223,VIT AP,11,Andhra Pradesh
224,LOYOLA ACADEMY,11,Telangana
225,LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,11,Andhra Pradesh
226,SREENIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,11,Telangana
227,GODAVARI INSTITUTE OF ENGINEERING AND TECHNOLOGY,11,Andhra Pradesh
228,G PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,11,Andhra Pradesh
229,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,BASAR",11,Telangana
230,MVGR,11,Andhra Pradesh
231,R.V.R & J.C COLLEGE OF ENGINEERING,11,Andhra Pradesh
232,NARASARAOPETA ENGINEERING COLLEGE,11,Andhra Pradesh
233,UNIVERSITY OF NORTH TEXAS,10,US
234,RAGHU INSTITUTE OF TECHNOLOGY,10,Andhra Pradesh
235,ASRA - AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,10,Telangana
236,ACME DEGREE COLLEGE,10,Telangana
237,KUEWSF - UNIVERSITY COLLEGE OF ENGG AND TECH FOR WOMEN KU CAMPUS,10,Kerala
238,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCE RAJAMPET,10,Andhra Pradesh
239,Rishi UBR women's college,10,Uttar Pradesh
240,NIMRA COLLEGE OF ENGINEERING AND TECHNOLOGY,10,Andhra Pradesh
241,OUCT - O U COLLEGE OF TECH HYDERABAD,9,Telangana
242,USHA RAMA COLLEGE OF ENGINEERING AND TECHNOLOGY,9,Andhra Pradesh
243,AURG - AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,9,Telangana
244,ACHARYA NAGARJUNA UNIVERSITY,9,Andhra Pradesh
245,K L UNIVERSITY,9,Andhra Pradesh
246,"CHRIST UNIVERSITY,BANGALORE",9,Karnataka
247,CHANDIGARH COLLEGE OF ENGINEERING,9,Chandigarh
248,DHANEKULA INSTITUTE OF ENGINEERING AND TECHNOLOGY,9,Andhra Pradesh
249,KCEA - KSHATRIYA COLLEGE OF ENGINEERING,9,Tamil Nadu
250,GATE - GATE INSTITUTE OF TECHNOLOGYAND SCIENCES,9,Andhra Pradesh
251,GLA UNIVERSITY,9,Uttar Pradesh
252,AUDISANKARA COLLEGE OF ENGINEERING AND TECHNOLOGY,9,Andhra Pradesh
253,PACE INSTITUTE OF TECHNOLOGY AND SCIENCES,9,Andhra Pradesh
254,TIRUMALA ENGINEERING COLLEGE,9,Andhra Pradesh
255,SASTRA DEEMED UNIVERSITY,9,Tamil Nadu
256,ANDHRA LOYOLA INSTITUTE OF ENGINEERING AND TECHNOLOGY,8,Andhra Pradesh
257,KAKATIYA UNIVERSITY,8,Telangana
258,VASIREDDY VENKATADRI INTERNATIONAL TECHNOLOGICAL UNIVERSITY,8,Andhra Pradesh
259,LAKIREDDY BALIREDDY COLLEGE OF ENGINEERING,8,Andhra Pradesh
260,GOVERNMENT INSTITUTE OF ELECTRONICS,8,Telangana
261,VIGNAN'S INSTITUTE OF INFORMATION AND TECHNOLOGY,8,Andhra Pradesh
262,INDIAN INSTITUTE OF TECHNOLOGY PATNA,8,Bihar
263,NARAYANA ENGINEERING COLLEGE,8,Andhra Pradesh
264,THE OXFORD COLLEGE OF ENGINEERING,8,Karnataka
265,ELEN - ELLENKI COLLGE OF ENGG AND TECHNOLOGY,8,Telangana
266,ICFAI,8,Telangana
267,IIT MADRAS,8,Tamil Nadu
268,VIT AP UNIVERSITY,8,Andhra Pradesh
269,RISHI MS INSTITUTE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,8,Andhra Pradesh
270,ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,8,Andhra Pradesh
271,KALASALINGAM UNIVERSITY,8,Tamil Nadu
272,SIR CR REDDY COLLEGE OF ENGINEERING,8,Andhra Pradesh
273,KNRR - KASIREDDY NARAYANAREDDY COLL ENGG RES,8,Telangana
274,MAHINDRA UNIVERSITY,8,Telangana
275,BRIG - BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,8,Telangana
276,MU - MAHINDRA UNIVERSITY,7,Telangana
277,VIJAY RURAL ENGINEERING COLLEGE,7,Telangana
278,"RAJEEV GANDHI MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY, NANDYAL",7,Andhra Pradesh
279,VARDHAMAN COLLEGE OF ENGINEERING,7,Telangana
280,NBKR INSTITUTE OF SCIENCE AND TECHNOLOGY,7,Andhra Pradesh
281,KAKINADA INSTITUTE OF ENGINEERING TECHNOLOGY,7,Andhra Pradesh
282,JNTUGV COLLEGE OF ENGINEERING VIZIANAGARAM,7,Andhra Pradesh
283,OU,7,Odisha
284,VIT BHOPAL UNIVERSITY,7,Madhya Pradesh
285,SVR ENGINEERING COLLEGE,7,Andhra Pradesh
286,VIT,7,Tamil Nadu
287,DHANALAKSHMI SRINIVASAN UNIVERSITY,7,Tamil Nadu
288,SWARNANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,7,Andhra Pradesh
289,CHTS - SREE CHAITANYA INST OF TECHNOLOGY SCIENCES,7,Andhra Pradesh
290,ICFAI TECH,7,Telangana
291,ST ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,7,Andhra Pradesh
292,SRIW - SUMATHI REDDY INST OF TECHNOLOGY FOR WOMEN,7,Telangana
293,ICFAI UNIVERSITY HYDERABAD,7,Telangana
294,SRINIVASA RAMANUJAN INSTITUTE OF TECHNOLOGY,7,Andhra Pradesh
295,VELTECH UNIVERSITY,7,Tamil Nadu
296,MAHATMA GANDHI UNIVERSITY,7,Kerala
297,IFHE,7,Telangana
298,JNTHMT - JNTUH-5 YEAR INTEGRATED MTECH SELF FINANCE,7,Telangana
299,VEL TECH UNIVERSITY,7,Tamil Nadu
300,VNR VJIET,6,Telangana
301,BVRIT HYDERABAD COLLEGE OF ENGINEERING FOR WOMEN,6,Telangana
302,KUWL - KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,6,Telangana
303,PETW - PRINCETON INST OF ENGG TECH FOR WOMEN,6,Telangana
304,ANDHRA UNIVERSITY COLLEGE OF ENGINEERING FOR WOMEN,6,Andhra Pradesh
305,UNIVERSITY OF HYDERABAD,6,Telangana
306,"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, NUZVID",6,Andhra Pradesh
307,KKR AND KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,6,Andhra Pradesh
308,VELAGAPUDI RAMAKRISHNA SIDDARTHA ENGINEERING COLLEGE,6,Andhra Pradesh
309,GAYATRI VIDYA PARISAD COLLEGE OF ENGINEERING,6,Andhra Pradesh
310,GAYATRI VIDYA PARISHAD COLLEGE FOR DEGREE AND PG COURSES,6,Andhra Pradesh
311,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DHARWAD,6,Karnataka
312,BAPATLA ENGINEERING COLLEGE,6,Andhra Pradesh
313,SASTRA UNIVERSITY,6,Tamil Nadu
314,ST.ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY CHIRALA,6,Andhra Pradesh
315,SRI VASAVI ENGINEERING COLLEGE,6,Andhra Pradesh
316,PRIW - PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,6,Telangana
317,LRDS - LORDS INSTITUTE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),6,Telangana
318,G PULLA REDDY ENGINEERING COLLEGE,6,Andhra Pradesh
319,VELLORE INSTITUTE OF TECHNOLOGY - AP,6,Andhra Pradesh
320,"VELLORE INSTITUTE OF TECHNOLOGY, VELLORE",6,Tamil Nadu
321,VIDHYA JYOTHI INSTITUTE OF TECHNOLOGY,6,Telangana
322,REVA UNIVERSITY,5,Karnataka
323,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES NUZVID,5,Andhra Pradesh
324,RGUKT NUZVID,5,Andhra Pradesh
325,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGY,5,Andhra Pradesh
326,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-BASAR,5,Telangana
327,RGUKT SRIKAKULAM,5,Andhra Pradesh
328,ST. ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,5,Andhra Pradesh
329,GAYATRI VIDYA PARISAD COLLEGE OF ENGINEERING FOR WOMEN,5,Andhra Pradesh
330,NIZAM COLLEGE,5,Telangana
331,GITAM UNIVERSITY,5,Andhra Pradesh
332,KUWLSF - KU COLLEGE OF ENGINEERING AND TECHNOLOGY - SELF FINANCE,5,Odisha
333,ARIZONA STATE UNIVERSITY,5,US
334,ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,5,Andhra Pradesh
335,AIMS DEGREE COLLEGE,5,Telangana
336,JAYPEE INSTITUTE OF INFORMATION TECHNOLOGY,5,Uttar Pradesh
337,ADITYA UNIVERSITY,5,Andhra Pradesh
338,KMCE- KESHAV MEMORIAL COLLEGE OF ENGINEERING,5,Andhra Pradesh
339,MHVR - MAHAVEER INSTITUTE OF SCI AND TECHNOLOGY,5,Telangana
340,VIKAS COLLEGE OF ENGINEERING AND TECHNOLOGY,5,Andhra Pradesh
341,VIT CHENNAI,5,Tamil Nadu
342,DAITA MADHUSUDANA SASTRY SRI VENKATESWARA HINDU COLLEGE OF ENGINEERING,5,Andhra Pradesh
343,ICFAI FOUNDATION FOR HIGHER EDUCATION (IFHE),5,Telangana
344,UNIVERSITY,5,Rajasthan
345,SRM,5,Tamil Nadu
346,BRIL - BRILLIANT INSTT OF ENGG AND TECHNOLOGY,5,Telangana
347,AURORA DEGREE & PG COLLEGE,5,Telangana
348,VAAGDEVI ENGINEERING COLLEGE,5,Telangana
